studyPointID,LFEVTGroupCd_FINAL,os_loading,ms_loading,us_loading,tree_loading,snag_loading,shrub_loading,herb_loading,herb_percentlive,moss_loading,lichen_loading,litter_loading,litter_depth,duff_loading,duff_depth,1hr_loading,10hr_loading,100hr_loading,fwd_loading,1000hrS_loading,1000hrR_loading,1000hr_loading,10000hrS_loading,10000hrR_loading,10000hr_loading,GT10000hrS_loading,GT10000hrR_loading,GT10000hr_loading,cwd_sound_loading,cwd_rotten_loading,cwd_loading
172,602,,,,,,,0.16,,,,,,,,0.31,1.62,4.18,6.11,,,12.21,,,,,,,,,
173,614,,,,5.87,,,,,,,5.09,,3.8,,,,,,,,,,,,,,,,,
174,614,,,,6.96,,,,,,,2.61,,4.21,,,,,,,,,,,,,,,,,
175,614,,,,7.45,,,,,,,1.78,,5.03,,,,,,,,,,,,,,,,,
176,614,,,,8.71,,,,,,,1.08,,6.57,,,,,,,,,,,,,,,,,
177,614,,,,10.33,,,,,,,3.08,,7.26,,,,,,,,,,,,,,,,,
178,614,,,,10.42,,,,,,,3.23,,8.64,,,,,,,,,,,,,,,,,
179,614,,,,11.69,,,,,,,4.9,,12.66,,,,,,,,,,,,,,,,,
180,615,,,,0.24,,,,,,,11.01,,8.26,,0.2,0.45,1.5,2.15,,,8.01,,,177.42,,,,,,
181,615,,,,35.61,,,,,,,3.64,,9.23,,1.25,0.45,0.4,2.1,,,12.63,,,47.92,,,,,,
182,615,,,,35.01,,,,,,,2.27,,10.68,,0.9,0.49,0.36,1.75,,,5.63,,,45.61,,,,,,
183,615,,,,70.9,,,,,,,4.25,,35.53,,1.17,0.45,0.85,2.47,,,4.61,,,178.68,,,,,,
184,663,,,,,,,,,,,2.01,1.32,4.36,0.71,,,,,,,,,,,,,,,,
185,663,,,,,,,,,,,2.91,1.34,5.43,0.85,,,,,,,,,,,,,,,,
186,629,,,,,,,,,,,,,,,0.26,1.87,3.04,5.17,,,50.72,,,,,,,,,
187,631,,,,,,,,,,,,0.9,,1,0.05,0.5,0.4,0.95,,,2.3,,,,,,,,,
188,631,,,,,,,,,,,,0.7,,1,0.73,4.1,4.3,9.13,,,7.58,,,,,,,,,
189,631,,,,,,,,,,,,0.6,,0.6,0.74,2.7,5.1,8.54,,,9.12,,,,,,,,,
190,631,,,,,,,,,,,,1,,1.3,0.52,4.2,4.5,9.22,,,10.53,,,,,,,,,
191,631,,,,,,,,,,,,0.3,,0.4,0.54,2.4,7,9.94,,,3.9,,,,,,,,,
192,631,,,,,,,,,,,,0.3,,0.5,0.57,2.7,4.5,7.77,,,6.6,,,,,,,,,
193,631,,,,,,,,,,,,1.2,,0.5,0.14,2.5,4.1,6.74,,,7.53,,,,,,,,,
194,631,,,,,,,,,,,,0.5,,0.6,0.24,3.6,6.4,10.24,,,3.38,,,,,,,,,
195,631,,,,,,,,,,,,1.1,,1.2,0.3,2.2,2.4,4.9,,,4.15,,,,,,,,,
196,631,,,,,,,,,,,,0.7,,0.7,0.35,2.4,5.4,8.15,,,8.31,,,,,,,,,
197,631,,,,,,,,,,,,1.5,,1.1,0.29,2.4,4.1,6.79,,,6.66,,,,,,,,,
198,631,,,,,,,,,,,,0.9,,1,0.46,2.3,3.2,5.96,,,9.31,,,,,,,,,
199,649,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,
200,649,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,
201,675,,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,
