PLOT_ID,SUBPLOT_ID,x,y,Fuelbed_nu,Fuelbed_Na,Depth_shru,Depth_nonW,Depth_wood,Depth_LLM,Depth_surf,Depth_lowF,Tree_overs,Tree_midst,Tree_under,Tree_bole_,Tree_above,Snag_cla_2,Snag_cla_3,Snag_cla_4,LadderFuel,Shrub_prim,Shrub_seco,Shrub_need,Nonwoody_p,Nonwoody_s,Woody_soun,Woody_so_1,Woody_so_2,Woody_so_3,Woody_so_4,Woody_so_5,Woody_rott,Woody_ro_1,Woody_ro_2,LLM_litter,GroundFuel,GroundFu_1,GroundFu_2,FCCS,EVT,MODIS Enhanced,SRS Group,EVG_GP,EVG_PHYS,EVG_GP_N,SAF/SRM
193,1,431997.248,3670523.35,270,Pine forest 21-40 years,42.672,21.336,4.064000203,1.016000051,4.19420741,1.266039408,11.77001898,6.561327043,2.028083414,130.4878327,150.1494338,0,0,0,0.672510693,0.521643142,0,2.241702311,0.313838324,0,0.425923462,2.084783307,3.13838346,1.255353294,0.112085116,0,1.076017154,0.112085116,0,1.793361849,1.145958222,10.28941361,0.004546932,623,3335,1479,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
193,3,432426.803,3670363.647,269,Pine - Mixed hardwoods   forest 60+ years,42.672,27.432,4.572,2.540000081,0.505242149,0.301554825,18.25930197,41.62268662,0.542828372,270.1537999,330.2701136,0,0,0,0.672510693,0.243309155,0,0,0.112085116,0,0.313838324,1.927863988,1.053600154,0,1.56919173,2.241702311,1.412272568,0,0,4.483404623,10.76017109,10.65257006,0.003540314,633,3335,1479,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
229,4,435095.741,3671019.955,306,Pine - Mixed hardwoods   forest 60+ years,33.528,24.384,5.080000102,0.508000041,2.903165746,0.263494357,7.890761201,32.53176104,4.312091715,146.6814867,188.2285024,0,0,0,0.672510693,1.498739174,0,0,0.022417025,0,0.381089393,1.501940549,4.169566523,0,1.56919173,2.241702311,1.950281145,0,0,0.896680925,10.76017109,10.65257006,0.000880989,186,3335,1054,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
233,0,437898.7765,3671030.94,313,Pine - Mixed hardwoods   forest 60+ years,24.384,15.24,10.1600002,2.286,5.096912844,0.49947067,13.63694767,21.53225908,0.04247712,175.9847144,211.1748587,46.58433825,0,0,0.672510693,1.288082238,0,0,0.022417025,0,0.179336198,2.690042774,2.084783307,1.950281145,1.56919173,2.241702311,0.851846946,0,0,4.035064385,28.69378959,10.65257006,0.002370383,624,3335,1055,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
240,8,443338.883,3671018.96,323,Hardwood forest 60+ years,76.2,73.152,9.90600061,7.366000102,7.296623964,7.232403823,38.77567088,37.58758659,0.760438104,356.1473163,433.0491383,0,0,0,0.672510693,0.698668445,0,0,0.381089393,0,0.224170231,1.501940549,4.169566523,1.389855433,0.672510693,0.336255347,0,1.905446965,0.336255347,13.00187341,5.380085547,7.626271712,0.00113206,186,3335,965,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
254,1,454547.111,3671313.966,345,Hardwood forest 60+ years,73.152,54.864,6.604000102,5.588000203,11.73910073,1.314557747,33.08184788,19.38323995,1.882469068,136.1722136,190.237516,2.959055345,0,0,0.672510693,2.395337379,0,0,0.022417025,0,0.358672392,3.272885375,4.707575078,1.972698146,0.672510693,0.336255347,1.681276868,1.905446965,0.336255347,9.86349017,5.380085547,7.626271712,0.003792357,186,3335,1476,Hardwood-Pine mix,17,Developed,Developed-Upland Shrubland,LF 20: Developed
258,0,432282.093,3671827.093,349,Pine forest 41-60 years,42.672,24.384,9.144,2.032000102,5.059361789,1.771666154,12.66993894,10.05745257,14.1639887,186.0010909,217.3658128,0,0,0,0.672510693,0.491166862,0,2.241702311,0.022417025,0,0.291421323,0.896680925,1.053600154,0,0.448340462,0,3.093549414,1.793361849,0,3.586723698,19.72698034,10.65257006,0.002374671,186,3335,1478,Loblolly  pine,31,Barren,Barren,LF 31: Barren
258,4,432492.653,3671837.185,350,Pine forest 41-60 years,51.816,30.48,11.43,1.77800002,7.272057084,2.205520913,12.37692558,18.75244061,1.661001993,196.8962237,228.696811,0,0,0,0.672510693,0.931012595,0,2.241702311,0.044834048,0,0.336255347,2.241702311,1.56919173,0,0.448340462,0,2.219285445,1.793361849,0,3.13838346,14.34689479,10.65257006,0.003050426,623,3335,1478,Loblolly  pine,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp
262,7,436148.6796,3671696.216,356,Hardwood forest 60+ years,33.528,67.056,7.111999898,4.572,11.42084381,12.42768721,59.79606862,9.045581768,1.554929168,349.4023703,418.703992,30.75412025,0,0,0.672510693,0.573870277,0,0,0.627676647,0,0.179336198,2.824545137,2.084783307,0,0.672510693,0.336255347,1.883030009,1.905446965,0.336255347,8.070128545,17.93361849,7.626271712,0.00250825,186,3335,1044,Hardwoods,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp
276,7,447421.541,3671689.91,377,Pine-hardwood forest   5-20 years,73.152,30.48,6.858000305,4.318000406,21.04551036,1.46960655,16.97340683,3.612705252,3.225655397,130.7642727,152.6249793,0,0,0,6.725107383,4.357855619,0,0,0.112085116,0,0.381089393,3.429804761,3.13838346,0,0,0,0,1.120851156,0,7.621787859,8.4646686,6.052596241,0,186,3335,1044,Pine-Hardwood mix,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp
282,0,453996.802,3671809.648,391,Hardwood forest 21-40   years,42.672,51.816,3.048000305,1.77800002,1.297051315,0.684504448,26.96933542,18.85569118,4.57674978,188.3915862,236.4143643,0,0,0,0.672510693,0.700672975,0,0,0.112085116,0,0.672510693,6.254349897,6.792358452,0,0,0,0,0,0,3.13838346,3.586723698,9.684153985,0.015912959,624,3335,898,Hardwoods,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp
282,4,454209.977,3671819.535,392,Pine - Mixed hardwoods   forest 21-40 years,45.72,36.576,14.2240001,4.572,4.24536809,0.78663927,5.070209209,21.8039803,0.656930571,110.8573464,137.9663175,0,0,0,0.672510693,1.239706661,0,2.241702311,0.134502143,0,0.381089393,7.464869145,6.27676692,0,0,0,0,1.120851156,0,8.070128545,5.380085547,9.078894361,0.001037908,624,3335,898,Pine-Hardwood mix,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp
