east_ae,north_ae,subplot_id,year,network,site,plot,subplot,EVG,EVG_Na,EVG_Phys,SAFSRM,soil_depth,tree_live_ttl_bio,tree_fol_bio,tree_live_1hr_bio,tree_live_10hr_bio,tree_live_100hr_bio,tree_live_1000hr_bio,tree_dead_1hr_bio,tree_dead_10hr_bio,shrub_bio_ttl,shrub_1hr,shrub_10hr,dwd_fuel_10h,dwd_fuel_100h,,dwd_fuel_1000h_s,,dwd_fuel_1000h_r,,tree_ltr_ld,tree_duff_ld,tree_ltr_depth,tree_duff_depth,herb_fuel_live_wd,herb_fuel_dead_wd,ispace_litter_load_wd,herb_fuel_stand_wd,herb_fuel_live_ss,herb_fuel_dead_ss,ispace_litter_load_ss,herb_fuel_stand_ss
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,11,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,1.08,0.717,0.157,NA,2.025,1.345,0.295,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,12,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.164,772,0.772,1490,1.49,0,0,NA,NA,NA,NA,0.424,0.389,0.219,NA,0.795,0.73,0.41,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,13,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.437,0.587,1.227,NA,0.82,1.1,2.3,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,14,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.915,0.485,0.637,NA,1.715,0.91,1.195,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,16,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,0.681,0,0.498,0.23,0.095,-0.142,0.004,0.002,0,0,0,1.954,7940,7.94,4618,4.618,0,0,NA,NA,NA,NA,0.435,0.077,0.224,NA,0.815,0.145,0.42,NA
-1896112.42753000000,1037013.69693000000,WJ-BC-BC017,17,WJ,BC,burn,17,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,NA,NA,0.243,2.544,NA,NA,0.455,4.77
-1896510.56583000000,1037144.67614000000,WJ-BC-BC019,6,WJ,BC,burn,19,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,21.616,0,7.729,3.866,3.697,6.324,0.745,0.425,0,0,0,0.471,441,0.441,0,0,0,0,2.119,0.532,2,0.3,0.083,0.096,0.107,NA,0.155,0.18,0.2,NA
-1896510.56583000000,1037144.67614000000,WJ-BC-BC019,7,WJ,BC,burn,19,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.956,1875,1.875,13183,13.183,4107,4.107,4.176,0.068,1.2,0.1,0.013,0.005,0.536,NA,0.025,0.01,1.005,NA
-1896510.56583000000,1037144.67614000000,WJ-BC-BC019,8,WJ,BC,burn,19,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.901,1654,1.654,9298,9.298,0,0,NA,NA,NA,NA,0.576,0.043,0.109,NA,1.08,0.08,0.205,NA
-1896510.56583000000,1037144.67614000000,WJ-BC-BC019,9,WJ,BC,burn,19,702,Introduced Annual Grassland,Exotic Herbaceous,LF 54: Introduced Upland Vegetation - Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.028,-0.025,-0.015,0.485,2316,2.316,10351,10.351,0,0,NA,NA,NA,NA,0.259,0.112,0.109,NA,0.485,0.21,0.205,NA
