subplot_id,network,site,plot,subplot,year,east_ae,north_ae,SAFSRM,EVG_GP,EVG_GP_N,os_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha,duff_depth_,duff_loading_Mgha
WJ-BC-BC020,WJ,BC,burn,20,7,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,0.00000000000,0.00000000000,0.00000000000,1.43300000000,0.27700000000,0.77200000000,3.88100000000,0.00000000000,0.00000000000,0.10600000000,0.00000000000,NA
WJ-BC-BC020,WJ,BC,burn,20,8,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,0.00000000000,0.00000000000,0.00000000000,0.72800000000,0.36000000000,1.54400000000,2.62500000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC020,WJ,BC,burn,20,9,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,-0.01700000000,0.00000000000,-0.01700000000,2.37700000000,0.27700000000,1.54400000000,2.48300000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC020,WJ,BC,burn,20,12,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,0.00000000000,0.00000000000,0.00000000000,1.84800000000,0.18000000000,0.77200000000,1.54600000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC020,WJ,BC,burn,20,16,-1896455.55390000000,1037172.22217000000,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,620,Juniper Woodland and Savanna,0.18700000000,0.00200000000,0.00000000000,1.34200000000,0.62400000000,2.64700000000,10.66700000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC021,WJ,BC,burn,21,6,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,13.85500000000,0.78400000000,0.00000000000,0.64400000000,0.09700000000,0.00000000000,0.00000000000,0.00000000000,2.10000000000,3.60400000000,1.30000000000,3.69900000000
WJ-BC-BC021,WJ,BC,burn,21,7,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.46800000000,0.20800000000,1.32300000000,3.53900000000,0.00000000000,0.10000000000,0.54600000000,0.00000000000,NA
WJ-BC-BC021,WJ,BC,burn,21,8,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.76700000000,0.18000000000,0.99300000000,3.29600000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC021,WJ,BC,burn,21,9,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.05800000000,0.36000000000,1.43400000000,1.85200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC021,WJ,BC,burn,21,12,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,2.96700000000,0.40200000000,1.32300000000,2.93100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC021,WJ,BC,burn,21,16,-1896372.23025000000,1037112.93548000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.04400000000,0.00000000000,0.00000000000,2.99800000000,2.37000000000,3.63900000000,11.01200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,6,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,16.00800000000,0.88700000000,0.00000000000,2.70600000000,0.18000000000,0.11000000000,0.00000000000,0.00000000000,1.30000000000,1.37600000000,3.50000000000,5.55400000000
WJ-BC-BC023,WJ,BC,burn,23,7,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.02000000000,0.00000000000,0.02000000000,0.72800000000,0.20800000000,0.00000000000,0.00000000000,0.00000000000,0.20000000000,0.85500000000,0.10000000000,0.16300000000
WJ-BC-BC023,WJ,BC,burn,23,8,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,-0.01800000000,0.00000000000,-0.01800000000,1.39600000000,1.12300000000,3.63900000000,6.69000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,9,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,-0.04000000000,0.00000000000,-0.04000000000,5.07500000000,0.44400000000,0.66200000000,1.89500000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,11,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,2.69100000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,12,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,2.24600000000,0.30500000000,0.88200000000,0.84200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,13,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,1.65600000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,14,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,3.03600000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,16,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,4.00300000000,0.24300000000,0.00000000000,6.64700000000,0.95600000000,2.31600000000,5.14100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC023,WJ,BC,burn,23,17,-1896247.75127000000,1037080.08887000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,NA,0.00000000000,NA,NA,NA,NA,NA,NA,NA,NA
WJ-BC-BC026,WJ,BC,burn,26,6,-1896054.34751000000,1037034.05689000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,2.06000000000,0.12200000000,0.00000000000,2.34600000000,0.27700000000,1.21300000000,0.00000000000,0.00000000000,1.30000000000,0.25500000000,4.70000000000,1.66700000000
