"","evt","dataobs","cover","us_loading..Mg.ha","ms_loading..Mg.ha","os_loading..Mg.ha","tree_crown_loading..Mg.ha","tree_loading..Mg.ha","snag_loading..Mg.ha","shrub_loading..Mg.ha","herb_percentlive.","herb_loading..Mg.ha","X1hr_loading..Mg.ha","X10hr_loading..Mg.ha","X100hr_loading..Mg.ha","fwd_loading..Mg.ha","X1KhrS_loading..Mg.ha","X1KhrR_loading..Mg.ha","X1Khr_loading..Mg.ha","X10KhrS_loading..Mg.ha","X10KhrR_loading..Mg.ha","X10Khr_loading..Mg.ha","GT10KhrS_loading..Mg.ha","GT10KhrR_loading..Mg.ha","cwd_sound_loading..Mg.ha","cwd_rotten_loading..Mg.ha","cwd_loading..Mg.ha","moss_loading..Mg.ha","lichen_loading..Mg.ha","litter_depth..cm","litter_loading..Mg.ha","duff_depth..cm","duff_loading..Mg.ha","NA","coverProp"
"54",703,55,41002956,0,0,0,0,0,0,3,18,25,30,32,32,24,25,25,0,25,25,0,25,25,32,32,27,0,0,21,23,21,25,0.00456666560217569,0.00456666560217569
"55",704,33,12675690,0,0,0,0,0,0,0,18,23,23,23,23,18,15,15,0,15,15,0,15,15,23,23,18,0,0,20,20,20,20,0.00141174303401058,0.00141174303401058
"56",705,0,217655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42411206070497e-05,2.42411206070497e-05
"57",706,2,172284,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,0,1,1,0,1,1,1,1,2,0,0,1,2,1,2,1.91879682188093e-05,1.91879682188093e-05
"58",707,55,2232695,0,0,0,0,54,54,55,0,55,53,53,53,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,54,0,54,0.000248664302560275,0.000248664302560275
"59",710,0,22038028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245446460999994,0.00245446460999994
"60",720,0,797051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87708043507824e-05,8.87708043507824e-05
"61",730,0,6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71042603949392e-07,7.71042603949392e-07
"62",740,344,114410800,0,0,0,0,313,313,343,0,343,337,337,337,0,0,0,0,0,0,0,0,0,1,1,342,0,0,0,339,0,338,0.0127423950818912,0.0127423950818912
"63",644,135,164623,0,0,0,0,12,12,16,0,91,124,125,125,16,15,15,29,13,13,0,13,13,92,92,25,0,0,79,98,100,98,1.83347315600117e-05,1.83347315600117e-05
"64",665,230,10302599,0,0,0,0,141,140,153,0,154,162,162,162,0,13,13,7,13,13,0,13,13,0,0,140,13,0,66,219,73,206,0.00114744225919492,0.00114744225919492
"65",685,146,88687961,0,0,0,0,144,144,146,0,146,144,144,144,0,0,0,1,0,0,0,0,0,0,0,144,0,0,1,145,1,144,0.00987753811763717,0.00987753811763717
"66",676,89,12604050,0,0,0,4,54,57,86,0,83,82,82,82,0,19,19,0,19,19,0,19,19,0,0,53,4,0,2,83,2,67,0.00140376419649116,0.00140376419649116
"67",693,305,70047890,10,10,10,6,273,285,299,0,293,296,296,296,0,17,17,1,5,5,0,0,0,0,0,273,12,10,1,292,1,270,0.00780151776784061,0.00780151776784061
