Std,LitPre,LitCon,LitPos,DW1Pre,DW1Con,DW1Pos,DW10Pre,DW10Con,DW10Pos,DW100Pre,DW100Con,DW100Pos,DW1kSndPre,DW1kSndCon,DW1kSndPos,DW1kRotPre,DW1kRotCon,DW1kRotPos,DufPre,DufCon,DufPos,HerPre,HerCon,HerPos,ShrPre,ShrCon,ShrPos,FolPre,FolCon,FolPos,BraPre,BraCon,BraPos,MSEPer,DufDepPre,DufDepCon,DufDepPos,PM10F,PM10S,PM25F,PM25S,CH4F,CH4S,COF,COS,CO2F,CO2S,NOXF,NOXS,SO2F,SO2S,FlaDur,SmoDur,FlaCon,SmoCon
"8011", 7.34, 7.34, 0.00, 0.03, 0.03, 0.00, 0.04, 0.04, 0.00, 0.99, 0.99, 0.00,40.00,17.53,22.47,17.00, 7.65, 9.35,31.68,15.72,15.96, 4.69, 4.69, 0.00, 4.87, 2.92, 1.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 92,2243, 78,1901, 24,1155,195,25328,53149,103092, 96,  0, 30, 84,    60, 12255, 14.94, 41.96
"8012", 0.41, 0.41, 0.00, 0.49, 0.49, 0.00, 0.41, 0.41, 0.00, 3.66, 3.66, 0.00,40.00,18.02,21.98,17.00, 7.96, 9.04,31.68,15.72,15.96, 2.25, 2.25, 0.00, 2.43, 1.46, 0.97, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 23,2494, 19,2113,  6,1284, 48,28157,13175,114611, 24,  0,  7, 93,    60,  7815,  3.70, 46.65
"8013", 1.55, 1.55, 0.00, 0.35, 0.35, 0.00, 0.16, 0.16, 0.00, 0.16, 0.16, 0.00,40.00,16.99,23.01,17.00, 7.56, 9.44,31.68,15.72,15.96, 0.45, 0.45, 0.00, 1.41, 0.85, 0.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 18,2186, 15,1853,  5,1126, 37,24687,10221,100486, 18,  0,  6, 82,    60,  8115,  2.87, 40.90
"8014", 4.05, 4.05, 0.00, 0.04, 0.04, 0.00, 0.11, 0.11, 0.00, 0.35, 0.35, 0.00,40.00,17.09,22.91,17.00, 7.56, 9.44,31.68,15.72,15.96, 3.76, 3.76, 0.00, 5.25, 3.15, 2.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 67,2185, 57,1852, 17,1125,143,24675,38963,100437, 70,  0, 22, 82,    60,  8115, 10.95, 40.88
"8015", 2.91, 2.91, 0.00, 0.88, 0.88, 0.00, 0.18, 0.18, 0.00, 1.57, 1.57, 0.00,40.00,17.63,22.37,17.00, 7.77, 9.23,31.68,15.72,15.96, 0.13, 0.13, 0.00, 3.55, 2.13, 1.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 37,2293, 31,1943, 10,1180, 79,25888,21501,105372, 39,  0, 12, 86,    75,  7905,  6.05, 42.89
"8016", 5.98, 5.98, 0.00, 1.55, 1.55, 0.00, 0.42, 0.42, 0.00, 1.74, 1.74, 0.00,40.00,18.02,21.98,17.00, 7.81, 9.19,31.68,15.72,15.96, 0.66, 0.66, 0.00, 3.64, 2.18, 1.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 64,2333, 54,1977, 17,1201,136,26345,37134,107232, 67,  0, 21, 87,    90, 12885, 10.44, 43.65
"8017", 2.54, 2.54, 0.00, 2.37, 2.37, 0.00, 0.72, 0.72, 0.00, 0.46, 0.46, 0.00,40.00,17.54,22.46,17.00, 7.73, 9.27,31.68,15.72,15.96, 0.14, 0.14, 0.00, 3.11, 1.87, 1.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 43,2250, 36,1907, 11,1158, 91,25407,24859,103417, 45,  0, 14, 84,    90,  8250,  6.99, 42.10
"8018", 1.67, 1.67, 0.00, 0.61, 0.61, 0.00, 0.22, 0.22, 0.00, 0.31, 0.31, 0.00,40.00,17.14,22.86,17.00, 7.61, 9.39,31.68,15.72,15.96, 0.28, 0.28, 0.00, 4.37, 2.62, 1.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 32,2192, 27,1858,  8,1129, 67,24754,18397,100758, 33,  0, 10, 82,    75,  8100,  5.17, 41.01
"8019", 2.80, 2.80, 0.00, 0.14, 0.14, 0.00, 0.31, 0.31, 0.00, 1.88, 1.88, 0.00,40.00,17.72,22.28,17.00, 7.82, 9.18,31.68,15.72,15.96, 2.16, 2.16, 0.00, 1.35, 0.81, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 35,2331, 30,1975,  9,1200, 75,26323,20421,107142, 37,  0, 11, 87,    60,  7875,  5.74, 43.61
"8020", 0.58, 0.58, 0.00, 0.05, 0.05, 0.00, 0.18, 0.18, 0.00, 1.52, 1.52, 0.00,40.00,17.49,22.51,17.00, 7.76, 9.24,31.68,15.72,15.96, 0.68, 0.68, 0.00, 1.69, 1.01, 0.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 14,2282, 12,1934,  4,1175, 30,25769, 8155,104889, 15,  0,  5, 85,    60,  7920,  2.29, 42.69
