EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2064,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,308,Low sagebrush shrubland,,2064,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,623,Low Sagebrush Shrubland and Steppe,Shrubland
2065,Sh Columbia Plateau Scabland Shrubland,308,Low sagebrush shrubland,,2065,Sh Columbia Plateau Scabland Shrubland,Shrub,613,Desert Scrub,Shrubland
2066,Sh Inter-Mountain Basins Mat Saltbush Shrubland,310,Greasewood shrubland,,2066,Sh Inter-Mountain Basins Mat Saltbush Shrubland,Shrub,636,Salt Desert Scrub,Shrubland
2067,Sh Mediterranean California Alpine Fell-Field,315,Showy sedge-black alpine sedge grassland,,2067,Sh Mediterranean California Alpine Fell-Field,Shrub,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,319,Pacific silver fir-Sitka alder forest,,2068,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2070,Sh Rocky Mountain Alpine Dwarf-Shrubland,237,Huckleberry-heather shrubland,,2070,Sh Rocky Mountain Alpine Dwarf-Shrubland,Shrub,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2071,Sh Sierra Nevada Alpine Dwarf-Shrubland,237,Huckleberry-heather shrubland,,2071,Sh Sierra Nevada Alpine Dwarf-Shrubland,Shrub,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2072,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,308,Low sagebrush shrubland,,2072,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrub,623,Low Sagebrush Shrubland and Steppe,Shrubland
2074,Sh Chihuahuan Creosotebush Desert Scrub,49,Creosote bush shrubland,,2074,Sh Chihuahuan Creosotebush Desert Scrub,Shrub,611,Creosotebush Desert Scrub,Shrubland
2075,Sh Chihuahuan Mixed Salt Desert Scrub,311,Saltbrush shrubland,,2075,Sh Chihuahuan Mixed Salt Desert Scrub,Shrub,636,Salt Desert Scrub,Shrubland
2076,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,352,Honey mesquite-fourwing saltbush shrubland,,2076,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,613,Desert Scrub,Shrubland
2077,Sh Chihuahuan Succulent Desert Scrub,307,Paloverde shrubland,,2077,Sh Chihuahuan Succulent Desert Scrub,Shrub,641,Succulent Desert Scrub,Shrubland
2078,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,309,Blackbrush shrubland,,2078,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrub,606,Blackbrush Shrubland,Shrubland
