EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2468,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,170,Pond pine/little gallberry-fetterbush shrubland,,2468,Tr Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,694,Atlantic Swamp Forests,Riparian
2469,Tr Eastern Great Plains Floodplain Systems,129,Green ash-American elm forest,,2469,Tr Eastern Great Plains Floodplain Systems,Tree,666,Eastern Floodplain Forests,Riparian
2469,Tr Eastern Great Plains Floodplain Systems,129,Green ash-American elm forest,,2469,Tr Eastern Great Plains Floodplain Systems,Herb,666,Eastern Floodplain Forests,Riparian
2470,Tr Caribbean Coastal Wetland Systems,272,Mangrove forest,,2470,Tr Caribbean Coastal Wetland Systems,Tree,678,Mangrove,Riparian
2471,Tr Central Interior and Appalachian Floodplain Systems,129,Green ash-American elm forest,,2471,Tr Central Interior and Appalachian Floodplain Systems,Tree,666,Eastern Floodplain Forests,Riparian
2471,Tr Central Interior and Appalachian Floodplain Systems,129,Green ash-American elm forest,,2471,Tr Central Interior and Appalachian Floodplain Systems,Shrub,666,Eastern Floodplain Forests,Riparian
2471,Tr Central Interior and Appalachian Floodplain Systems,129,Green ash-American elm forest,,2471,Tr Central Interior and Appalachian Floodplain Systems,Herb,666,Eastern Floodplain Forests,Riparian
2472,Tr Central Interior and Appalachian Riparian Systems,129,Green ash-American elm forest,,2472,Tr Central Interior and Appalachian Riparian Systems,Tree,668,Eastern Small Stream Riparian Forests,Riparian
2472,Tr Central Interior and Appalachian Riparian Systems,129,Green ash-American elm forest,,2472,Tr Central Interior and Appalachian Riparian Systems,Shrub,668,Eastern Small Stream Riparian Forests,Riparian
2472,Tr Central Interior and Appalachian Riparian Systems,129,Green ash-American elm forest,,2472,Tr Central Interior and Appalachian Riparian Systems,Herb,668,Eastern Small Stream Riparian Forests,Riparian
2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,283,Willow-laurel-water oak forest,,2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,666,Eastern Floodplain Forests,Riparian
2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,283,Willow-laurel-water oak forest,,2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Herb,666,Eastern Floodplain Forests,Riparian
2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,283,Willow-laurel-water oak forest,,2473,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Shrub,666,Eastern Floodplain Forests,Riparian
2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,283,Willow-laurel-water oak forest,,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,668,Eastern Small Stream Riparian Forests,Riparian
2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,283,Willow-laurel-water oak forest,,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,668,Eastern Small Stream Riparian Forests,Riparian
2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,283,Willow-laurel-water oak forest,,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,668,Eastern Small Stream Riparian Forests,Riparian
2475,Tr Laurentian-Acadian Floodplain Systems,284,Green ash-American elm-silver maple-cottonwood forest,,2475,Tr Laurentian-Acadian Floodplain Systems,Tree,666,Eastern Floodplain Forests,Riparian
2475,Tr Laurentian-Acadian Floodplain Systems,284,Green ash-American elm-silver maple-cottonwood forest,,2475,Tr Laurentian-Acadian Floodplain Systems,Shrub,666,Eastern Floodplain Forests,Riparian
2475,Tr Laurentian-Acadian Floodplain Systems,284,Green ash-American elm-silver maple-cottonwood forest,,2475,Tr Laurentian-Acadian Floodplain Systems,Herb,666,Eastern Floodplain Forests,Riparian
2476,Tr Tamaulipan Riparian Systems,426,Sugarberry/acacia forest,,2476,Tr Tamaulipan Riparian Systems,Tree,668,Eastern Small Stream Riparian Forests,Riparian
2476,Tr Tamaulipan Riparian Systems,426,Sugarberry/acacia forest,,2476,Tr Tamaulipan Riparian Systems,Shrub,668,Eastern Small Stream Riparian Forests,Riparian
2477,Tr Boreal Acidic Peatland Systems,279,Black spruce-northern white cedar-larch fores,,2477,Tr Boreal Acidic Peatland Systems,Tree,683,Peatland Forests,Riparian
2477,Tr Boreal Acidic Peatland Systems,279,Black spruce-northern white cedar-larch fores,,2477,Tr Boreal Acidic Peatland Systems,Shrub,683,Peatland Forests,Riparian
2477,Tr Boreal Acidic Peatland Systems,279,Black spruce-northern white cedar-larch fores,,2477,Tr Boreal Acidic Peatland Systems,Herb,683,Peatland Forests,Riparian
2478,Tr Caribbean Swamp System,440,Pondcypress-cabbage palm-strangler fig forest,,2478,Tr Caribbean Swamp System,Herb,694,Atlantic Swamp Forests,Riparian
2478,Tr Caribbean Swamp System,440,Pondcypress-cabbage palm-strangler fig forest,,2478,Tr Caribbean Swamp System,Tree,694,Atlantic Swamp Forests,Riparian
2479,Tr Central Interior and Appalachian Swamp Systems,441,Red maple-black ash/common winterberry forest,,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,694,Atlantic Swamp Forests,Riparian
2479,Tr Central Interior and Appalachian Swamp Systems,441,Red maple-black ash/common winterberry forest,,2479,Tr Central Interior and Appalachian Swamp Systems,Shrub,694,Atlantic Swamp Forests,Riparian
2480,Tr Gulf and Atlantic Coastal Plain Swamp Systems,288,Bald cypress-water tupelo forest,,2480,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,694,Atlantic Swamp Forests,Riparian
2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,427,Red spruce-northern white cedar-tamarack forest,,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,694,Atlantic Swamp Forests,Riparian
2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,427,Red spruce-northern white cedar-tamarack forest,,2481,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Shrub,694,Atlantic Swamp Forests,Riparian
2482,He Great Plains Prairie Pothole,442,Bulrush grassland,,2482,He Great Plains Prairie Pothole,Herb,650,Depressional Wetland,Riparian
2483,Tr South Florida Everglades Sawgrass Marsh,203,Sawgrass-muhly grassland,,2483,Tr South Florida Everglades Sawgrass Marsh,Herb,653,Atlantic Coastal Marsh,Riparian
2483,Tr South Florida Everglades Sawgrass Marsh,203,Sawgrass-muhly grassland,,2483,Tr South Florida Everglades Sawgrass Marsh,Shrub,653,Atlantic Coastal Marsh,Riparian
2483,Tr South Florida Everglades Sawgrass Marsh,203,Sawgrass-muhly grassland,,2483,Tr South Florida Everglades Sawgrass Marsh,Shrub,653,Atlantic Coastal Marsh,Riparian
2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Inland Marshes and Prairies,Riparian
2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Inland Marshes and Prairies,Riparian
2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2485,Tr East Gulf Coastal Plain Savanna and Wet Prairie,Shrub,675,Inland Marshes and Prairies,Riparian
2486,He Texas Saline Coastal Prairie,175,Smooth cordgrass-black needlerush grassland,,2486,He Texas Saline Coastal Prairie,Herb,675,Inland Marshes and Prairies,Riparian
2488,He Eastern Great Plains Wet Meadow-Prairie-Marsh,443,Prairie cordgrass-bluejoint grassland,,2488,He Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,650,Depressional Wetland,Riparian
2489,Tr Floridian Highlands Freshwater Marsh,318,Bluejoint reedgrass-water sedge grassland,,2489,Tr Floridian Highlands Freshwater Marsh,Herb,675,Inland Marshes and Prairies,Riparian
2489,Tr Floridian Highlands Freshwater Marsh,318,Bluejoint reedgrass-water sedge grassland,,2489,Tr Floridian Highlands Freshwater Marsh,Tree,675,Inland Marshes and Prairies,Riparian
2489,Tr Floridian Highlands Freshwater Marsh,318,Bluejoint reedgrass-water sedge grassland,,2489,Tr Floridian Highlands Freshwater Marsh,Shrub,675,Inland Marshes and Prairies,Riparian
2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,175,Smooth cordgrass-black needlerush grassland,,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,653,Atlantic Coastal Marsh,Riparian
2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,175,Smooth cordgrass-black needlerush grassland,,2490,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Shrub,653,Atlantic Coastal Marsh,Riparian
2491,He Acadian Salt Marsh and Estuary Systems,175,Smooth cordgrass-black needlerush grassland,,2491,He Acadian Salt Marsh and Estuary Systems,Herb,653,Atlantic Coastal Marsh,Riparian
2492,Sh Great Lakes Coastal Marsh Systems,443,Prairie cordgrass-bluejoint grassland,,2492,Sh Great Lakes Coastal Marsh Systems,Herb,675,Inland Marshes and Prairies,Riparian
2492,Sh Great Lakes Coastal Marsh Systems,443,Prairie cordgrass-bluejoint grassland,,2492,Sh Great Lakes Coastal Marsh Systems,Shrub,675,Inland Marshes and Prairies,Riparian
2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,445,Woollyfruit sedge-yellow sedge grassland,,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,675,Inland Marshes and Prairies,Riparian
2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,445,Woollyfruit sedge-yellow sedge grassland,,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,675,Inland Marshes and Prairies,Riparian
2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,442,Bulrush grassland,,2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,675,Inland Marshes and Prairies,Riparian
2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,442,Bulrush grassland,,2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,675,Inland Marshes and Prairies,Riparian
2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,442,Bulrush grassland,,2494,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Tree,675,Inland Marshes and Prairies,Riparian
2495,He Western Great Plains Depressional Wetland Systems,318,Bluejoint reedgrass-water sedge grassland,,2495,He Western Great Plains Depressional Wetland Systems,Herb,650,Depressional Wetland,Riparian
2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,0,Urban-Barren,,2497,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,0,Urban-Barren,,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,0,Urban-Barren,,2499,Sps Laurentian-Acadian Sparsely Vegetated Systems,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2501,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,448,Bald cypress-tupelo/swamp titi forest,,2501,Tr Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,694,Atlantic Swamp Forests,Riparian
2502,Tr Central Appalachian Dry Oak-Pine Forest,281,Shortleaf pine-post oak-black oak forest  ,,2502,Tr Central Appalachian Dry Oak-Pine Forest,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2503,He Chihuahuan Loamy Plains Desert Grassland,352,Honey mesquite-fourwing saltbush shrubland,,2503,He Chihuahuan Loamy Plains Desert Grassland,Herb,617,Grassland,Grassland
2504,He Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,353,Honey mesquite/black grama steppe grassland,,2504,He Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Herb,650,Depressional Wetland,Riparian
2506,Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,283,Willow-laurel-water oak forest,,2506,Tr West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tree,673,Hardwood Flatwoods,Hardwood
2507,Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2507,Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tree,689,Shortleaf Pine Woodland,Conifer
2509,Tr Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,430,White oak-southern red oak forest,,2509,Tr Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2510,Tr Crowley's Ridge Sand Forest,281,Shortleaf pine-post oak-black oak forest  ,,2510,Tr Crowley's Ridge Sand Forest,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2511,Tr Appalachian Northern Hardwood Forest,268,American beech-yellow birch-sugar maple-eastern hemlock forest,,2511,Tr Appalachian Northern Hardwood Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Hardwood
2512,Tr Appalachian Hemlock-Northern Hardwood Forest,269,Sugar maple-yellow poplar-American beech-oak forest,,2512,Tr Appalachian Hemlock-Northern Hardwood Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Conifer-Hardwood
2513,Tr Lower Mississippi River Flatwoods,283,Willow-laurel-water oak forest,,2513,Tr Lower Mississippi River Flatwoods,Tree,684,Pine Flatwoods,Conifer
2517,Tr Paleozoic Plateau Bluff and Talus,0,Urban-Barren,,2517,Tr Paleozoic Plateau Bluff and Talus,Tree,663,Black Oak Woodland and Savanna,Hardwood
2517,Tr Paleozoic Plateau Bluff and Talus,0,Urban-Barren,,2517,Tr Paleozoic Plateau Bluff and Talus,Herb,663,Black Oak Woodland and Savanna,Hardwood
2518,Tr North-Central Interior Wet Flatwoods,449,Pin oak-white oak/buttonbush forest,,2518,Tr North-Central Interior Wet Flatwoods,Tree,673,Hardwood Flatwoods,Hardwood
2519,Tr East-Central Texas Plains Post Oak Savanna and Woodland,264,Post-blackjack oak forest,,2519,Tr East-Central Texas Plains Post Oak Savanna and Woodland,Tree,662,Post Oak Woodland and Savanna,Hardwood
2522,Tr Northern Atlantic Coastal Plain Heathland,243,Pitch pine/scrub oak shrubland,,2522,Sh Northern Atlantic Coastal Plain Heathland,Shrub,674,Heathland and Grassland,Shrubland
2522,Sh Northern Atlantic Coastal Plain Heathland,243,Pitch pine/scrub oak shrubland,,2522,Tr Northern Atlantic Coastal Plain Heathland,Herb,674,Heathland and Grassland,Shrubland
2523,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,450,Oak-Ashe juniper forest,,2523,Tr Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,696,Juniper-Oak,Conifer-Hardwood
2524,Tr Edwards Plateau Mesic Canyon,451,Texas live oak/roughleaf dogwood forest,,2524,Tr Edwards Plateau Mesic Canyon,Tree,605,Bigtooth Maple Woodland,Hardwood
2525,Tr Edwards Plateau Riparian,129,Green ash-American elm forest,,2525,Tr Edwards Plateau Riparian,Tree,668,Eastern Small Stream Riparian Forests,Riparian
2525,Sh Edwards Plateau Riparian,129,Green ash-American elm forest,,2525,Sh Edwards Plateau Riparian,Shrub,668,Eastern Small Stream Riparian Forests,Riparian
2526,Tr Laurentian-Acadian Swamp Systems,427,Red spruce-northern white cedar-tamarack forest,,2526,Tr Laurentian-Acadian Swamp Systems,Tree,694,Atlantic Swamp Forests,Riparian
2526,Tr Laurentian-Acadian Swamp Systems,427,Red spruce-northern white cedar-tamarack forest,,2526,Tr Laurentian-Acadian Swamp Systems,Shrub,694,Atlantic Swamp Forests,Riparian
2527,Tr East Gulf Coastal Plain Interior Oak Forest,264,Post-blackjack oak forest,,2527,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2531,Tr Ruderal Upland Vegetation,453,Bluestem-tall fescue-switchgrass grassland,,2531,Tr Ruderal Upland Vegetation,Herb,740,Ruderal Forest,Conifer-Hardwood
2531,Tr Ruderal Upland Vegetation,453,Bluestem-tall fescue-switchgrass grassland,,2531,Tr Ruderal Upland Vegetation,Tree,740,Ruderal Forest,Conifer-Hardwood
2531,Tr Ruderal Upland Vegetation,453,Bluestem-tall fescue-switchgrass grassland,,2531,Tr Ruderal Upland Vegetation,Shrub,740,Ruderal Forest,Conifer-Hardwood
2532,Tr Ruderal Forest-Northern and Central Hardwood and Conifer,454,American beech-maple/American red raspberry forest,,2532,Tr Ruderal Forest-Northern and Central Hardwood and Conifer,Tree,740,Ruderal Forest,Conifer-Hardwood
2533,Tr Ruderal Forest-Southeast Hardwood and Conifer,180,Red maple-oak-hickory-sweetgum forest,,2533,Tr Ruderal Forest-Southeast Hardwood and Conifer,Tree,740,Ruderal Forest,Conifer-Hardwood
2534,Tr Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,455,Red pine forest,,2534,Tr Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Tree,731,Managed Tree Plantation,Conifer
2535,Tr Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,161,Loblolly-slash pine plantation,,2535,Tr Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,Tree,731,Managed Tree Plantation,Conifer
2536,Tr Introduced Wetland Vegetation-Tree,456,Chinese tallow forest,,2536,Tr Introduced Wetland Vegetation-Tree,Tree,708,Introduced Woody Wetland Vegetation,Riparian
2538,He Introduced Wetland Vegetation-Herbaceous,176,Smooth cordgrass-black needlerush grassland invaded by common reed,,2538,He Introduced Wetland Vegetation-Herbaceous,Herb,709,Introduced Herbaceous Wetland Vegetation,Exotic Herbaceous
2539,Sh Modified/Managed Northern Tallgrass Grassland,133,Tall fescue-foxtail-purple bluestem grassland,,2539,Sh Modified/Managed Northern Tallgrass Grassland,Herb,711,Modified-Managed Prairie Grassland,Grassland
2540,Sh Modified/Managed Southern Tallgrass Grassland,133,Tall fescue-foxtail-purple bluestem grassland,,2540,Sh Modified/Managed Southern Tallgrass Grassland,Herb,711,Modified-Managed Prairie Grassland,Grassland
2546,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,281,Shortleaf pine-post oak-black oak forest  ,,2546,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2550,Tr Pinus taeda Forest Alliance,282,Loblolly pine forest,,2550,Tr Pinus taeda Forest Alliance,Tree,697,Loblolly Pine Forest and Woodland,Conifer
2551,Tr Pinus elliottii Saturated Temperate Woodland Alliance,165,Longleaf pine/three-awned grass-pitcher plant savanna - managed with prescribed fire,,2551,Tr Pinus elliottii Saturated Temperate Woodland Alliance,Tree,684,Pine Flatwoods,Conifer-Hardwood
2552,Tr Pinus palustris-Pinus elliottii Forest Alliance,190,Slash pine-longleaf pine/gallberry forest,,2552,Tr Pinus palustris-Pinus elliottii Forest Alliance,Tree,677,Longleaf Pine Woodland,Conifer
2553,Tr Mixed Loblolly-Slash Pine,191,Longleaf pine-slash pine/gallberry forest,,2553,Tr Mixed Loblolly-Slash Pine,Tree,698,Loblolly Pine-Slash Pine Forest and Woodland,Conifer
2554,Tr Acadian Low-Elevation Hardwood Forest,110,American beech-yellow birch-sugar maple forest,,2554,Tr Acadian Low-Elevation Hardwood Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2555,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,265,Balsam fir-white spruce-mixed hardwood forest,,2555,Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2556,Tr Central Appalachian Rocky Oak Woodland,107,Pitch pine/scrub oak forest,,2556,Tr Central Appalachian Rocky Oak Woodland,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2557,Tr Central Appalachian Rocky Pine-Oak Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2557,Tr Central Appalachian Rocky Pine-Oak Woodland,Tree,664,Chestnut Oak-Virginia Pine Forest and Woodland,Conifer-Hardwood
2582,Tr Ozark-Ouachita Oak Forest and Woodland,90,White oak-northern red oak forest,,2582,Tr Ozark-Ouachita Oak Forest and Woodland,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2583,Tr Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2583,Tr Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Tree,690,Shortleaf Pine-Oak Forest and Woodland,Conifer-Hardwood
2584,Tr West Gulf Coastal Plain Hardwood Forest,461,Post oak-black oak forest,,2584,Tr West Gulf Coastal Plain Hardwood Forest,Tree,689,Shortleaf Pine Woodland,Conifer
2585,Tr West Gulf Coastal Plain Pine-Hardwood Forest,281,Shortleaf pine-post oak-black oak forest  ,,2585,Tr West Gulf Coastal Plain Pine-Hardwood Forest,Tree,689,Shortleaf Pine Woodland,Conifer
2586,Tr West Gulf Coastal Plain Sandhill Oak Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2586,Tr West Gulf Coastal Plain Sandhill Oak Forest and Woodland,Tree,689,Shortleaf Pine Woodland,Conifer
2587,Tr West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,281,Shortleaf pine-post oak-black oak forest  ,,2587,Tr West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,Tree,689,Shortleaf Pine Woodland,Conifer
2588,Tr East Gulf Coastal Plain Southern Hardwood Flatwoods,463,Willow oak-water oak forest,,2588,Tr East Gulf Coastal Plain Southern Hardwood Flatwoods,Tree,684,Pine Flatwoods,Conifer
2589,Tr East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,464,Loblolly pine-willow oak forest,,2589,Tr East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Tree,684,Pine Flatwoods,Conifer
2590,Tr West Gulf Coastal Plain Hardwood Flatwoods,465,Post oak-southern red oak-loblolly pine forest,,2590,Tr West Gulf Coastal Plain Hardwood Flatwoods,Tree,684,Pine Flatwoods,Conifer
2591,Tr West Gulf Coastal Plain Pine-Hardwood Flatwoods,466,Loblolly pine-post oak-southern red oak forest,,2591,Tr West Gulf Coastal Plain Pine-Hardwood Flatwoods,Tree,684,Pine Flatwoods,Conifer
2600,Tr Western North American Boreal White Spruce Forest,101,White spruce forest,,2600,Tr Western North American Boreal White Spruce Forest,Tree,784,White Spruce Forest and Woodland,Conifer
2601,Tr Western North American Boreal Treeline White Spruce Woodland,324,White spruce woodland,,2601,Tr Western North American Boreal Treeline White Spruce Woodland,Tree,784,White Spruce Forest and Woodland,Conifer
2602,Tr Western North American Boreal Spruce-Lichen Woodland,85,Black spruce/lichen forest,,2602,Tr Western North American Boreal Spruce-Lichen Woodland,Tree,778,Spruce-Lichen Woodland,Shrubland
2603,Tr Alaska Boreal White Spruce Forest,105,Paper birch-quaking aspen-white spruce forest,,2603,Tr Alaska Boreal White Spruce Forest,Tree,785,White Spruce Forest and Woodland,Conifer
2604,Tr Western North American Boreal Mesic Black Spruce Forest,87,Black spruce/feathermoss forest,,2604,Tr Western North American Boreal Mesic Black Spruce Forest,Tree,758,Black Spruce Forest and Woodland,Conifer
2605,Tr Western North American Boreal Mesic Birch-Aspen Forest,93,Paper birch-quaking aspen forest,,2605,Tr Western North American Boreal Mesic Birch-Aspen Forest,Tree,756,Birch-Aspen Forest,Hardwood
2606,Tr Western North American Boreal Dry Aspen-Steppe Bluff,323,Quaking aspen/sagebrush boreal woodland,,2606,Tr Western North American Boreal Dry Aspen-Steppe Bluff,Tree,760,Dry Aspen-Steppe Bluff,Hardwood
2607,Tr Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,94,Balsam poplar-quaking aspen forest,,2607,Tr Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,Tree,753,Balsam Poplar-Aspen Woodland,Hardwood
2608,Sh Alaska Sub-boreal Avalanche Slope Shrubland,95,Willow-mountain alder shrubland,,2608,Sh Alaska Sub-boreal Avalanche Slope Shrubland,Shrub,752,Avalanche Slope Shrubland,Shrubland
2609,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,95,Willow-mountain alder shrubland,,2609,Sh Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrub,750,Alder Shrubland,Shrubland
2610,Sh Western North American Boreal Mesic Scrub Birch-Willow Shrubland,326,Willow-birch shrubland,,2610,Sh Western North American Boreal Mesic Scrub Birch-Willow Shrubland,Shrub,786,Willow Shrubland,Shrubland
2611,He Western North American Sub-boreal Mesic Bluejoint Meadow,99,Bluejoint reedgrass grassland,,2611,He Western North American Sub-boreal Mesic Bluejoint Meadow,Herb,783,Wet Meadow,Riparian
2612,He Western North American Boreal Dry Grassland,100,Altai fescue grassland,,2612,He Western North American Boreal Dry Grassland,Herb,759,Boreal Grassland,Grassland
2631,Sh Western North American Boreal Alpine Dwarf-Shrub Summit,333,Dryas tundra shrubland,,2631,Sh Western North American Boreal Alpine Dwarf-Shrub Summit,Shrub,762,Dwarf Shrubland,Shrubland
2633,He Western North American Boreal Alpine Mesic Herbaceous Meadow,100,Altai fescue grassland,,2633,He Western North American Boreal Alpine Mesic Herbaceous Meadow,Herb,767,Herbaceous Meadow,Grassland
2634,Sh Western North American Boreal Alpine Dryas Dwarf-Shrubland,333,Dryas tundra shrubland,,2634,Sh Western North American Boreal Alpine Dryas Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2635,Sh Western North American Boreal Alpine Ericaceous Dwarf-Shrubland,334,Mountain heather tundra shrubland,,2635,Sh Western North American Boreal Alpine Ericaceous Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2636,Sh Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland,98,Marsh labrador tea-lingonberry tundra shrubland,,2636,Sh Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
2638,Sh Alaska Arctic Mesic Alder Shrubland,95,Willow-mountain alder shrubland,,2638,Sh Alaska Arctic Mesic Alder Shrubland,Shrub,750,Alder Shrubland,Shrubland
2639,Sh Alaska Arctic Mesic-Wet Willow Shrubland,95,Willow-mountain alder shrubland,,2639,Sh Alaska Arctic Mesic-Wet Willow Shrubland,Shrub,786,Willow Shrubland,Shrubland
2640,Sh Aleutian Mesic-Wet Willow Shrubland,95,Willow-mountain alder shrubland,,2640,Sh Aleutian Mesic-Wet Willow Shrubland,Shrub,786,Willow Shrubland,Shrubland
2642,Tr Aleutian Kenai Birch-Cottonwood-Poplar Forest,332,Balsam poplar-paper birch forest,,2642,Tr Aleutian Kenai Birch-Cottonwood-Poplar Forest,Tree,757,Birch-Cottonwood-Poplar Forest,Hardwood
2643,Sh Alaskan Pacific Maritime Alpine Dwarf-Shrubland,329,Mountain heath tundra shrubland,,2643,Sh Alaskan Pacific Maritime Alpine Dwarf-Shrubland,Shrub,762,Dwarf Shrubland,Shrubland
